Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,Home_GF_last5,Home_GA_last5,Home_Pts_last5,Away_GF_last5,Away_GA_last5,Away_Pts_last5,GF_diff_last5,GA_diff_last5,Pts_diff_last5,Home_rest_days,Away_rest_days,Rest_diff,B365H,B365D,B365A,Home_SeasonPts,Away_SeasonPts,SeasonPts_diff,Home_Elo,Away_Elo,Elo_diff
2015-09-12,Norwich,Bournemouth,3,1,H,1,0,H,M Atkinson,12,7,4,2,10,11,4,4,2,3,0,0,2015-16,1.25,2.0,1.0,1.25,1.5,1.0,0.0,0.5,0.0,13.0,14.0,-1.0,2.4,3.4,3.2,4.0,4.0,0.0,1710.12597656,1858.87255859,-148.7465820299999
2015-09-12,Watford,Swansea,1,0,H,0,0,D,R Madley,17,8,6,3,11,14,1,3,1,1,1,0,2015-16,0.5,1.0,0.75,1.75,1.0,2.0,-1.25,0.0,-1.25,14.0,13.0,1.0,2.75,3.4,2.75,3.0,8.0,-5.0,1670.34545898,1905.42053223,-235.07507324999983
2015-09-12,Man United,Liverpool,3,1,H,0,0,D,M Oliver,9,8,3,4,6,11,4,4,1,2,0,0,2015-16,0.75,0.5,1.75,0.5,0.75,1.75,0.25,-0.25,0.0,13.0,14.0,-1.0,2.0,3.4,4.33,7.0,7.0,0.0,1831.8223877,1677.6237793,154.1986084
2015-09-13,Leicester,Aston Villa,3,2,H,0,1,A,M Dean,21,11,6,4,8,13,4,5,2,1,0,0,2015-16,2.0,1.25,2.0,1.0,1.25,1.0,1.0,0.0,1.0,15.0,15.0,0.0,1.91,3.75,4.33,8.0,4.0,4.0,1583.05993652,1717.92028809,-134.86035156999992
2015-09-13,Sunderland,Tottenham,0,1,A,0,0,D,C Pawson,12,15,2,4,11,12,6,8,2,1,0,0,2015-16,1.5,2.5,0.5,0.75,1.0,0.75,0.75,1.5,-0.25,15.0,15.0,0.0,4.33,3.6,1.95,2.0,3.0,-1.0,1648.12133789,1574.18823242,73.93310546999987
2015-09-14,West Ham,Newcastle,2,0,H,1,0,H,A Taylor,17,14,3,4,8,11,6,7,0,2,0,0,2015-16,2.25,1.5,1.5,0.5,1.25,0.5,1.75,0.25,1.0,16.0,16.0,0.0,2.25,3.5,3.4,6.0,2.0,4.0,1619.18859863,1583.21496582,35.9736328099998
2015-09-19,Chelsea,Arsenal,2,0,H,0,0,D,M Dean,22,9,7,2,12,11,5,5,3,1,0,2,2015-16,1.4,2.4,0.8,1.0,0.6,2.0,0.3999999999999999,1.7999999999999998,-1.2,7.0,7.0,0.0,2.45,3.5,3.0,4.0,10.0,-6.0,1889.16760254,1618.98364258,270.18395996000004
2015-09-19,Swansea,Everton,0,0,D,0,0,D,S Attwell,12,17,3,2,12,11,2,4,2,2,0,1,2015-16,1.4,1.0,1.6,1.6,1.0,1.6,-0.2000000000000001,0.0,0.0,7.0,7.0,0.0,2.3,3.4,3.4,8.0,8.0,0.0,1560.29443359,1625.42333984,-65.12890625
2015-09-19,Newcastle,Watford,1,2,A,0,2,A,R East,15,13,5,4,8,12,5,5,1,2,0,0,2015-16,0.4,1.4,0.4,0.6,0.8,1.2,-0.1999999999999999,0.5999999999999999,-0.7999999999999999,5.0,7.0,-2.0,2.5,3.3,3.1,2.0,6.0,-4.0,1570.90637207,1568.58068848,2.3256835900001533
2015-09-19,Bournemouth,Sunderland,2,0,H,2,0,H,K Friend,15,9,5,2,14,15,7,3,2,4,0,1,2015-16,1.2,1.8,0.8,1.2,2.2,0.4,0.0,-0.4000000000000001,0.4,7.0,6.0,1.0,1.7,4.0,5.5,4.0,2.0,2.0,1663.61621094,1644.43457031,19.181640629999947
2015-09-19,Man City,West Ham,1,2,A,1,2,A,R Madley,27,6,8,3,10,7,16,3,1,2,0,0,2015-16,2.2,0.0,3.0,2.2,1.2,1.8,0.0,-1.2,1.2,7.0,5.0,2.0,1.29,6.5,11.0,15.0,9.0,6.0,1671.00671387,1716.80932617,-45.802612299999964
2015-09-19,Aston Villa,West Brom,0,1,A,0,1,A,M Atkinson,13,11,3,6,10,11,2,7,2,3,0,0,2015-16,1.2,1.6,0.8,0.6,1.2,1.0,0.6,0.4000000000000001,-0.1999999999999999,6.0,7.0,-1.0,2.3,3.25,3.5,4.0,5.0,-1.0,1565.8392334,1577.16162109,-11.322387689999914
2015-09-19,Stoke,Leicester,2,2,D,2,0,H,A Marriner,11,12,4,5,7,12,3,4,1,4,0,0,2015-16,0.6,1.4,0.4,2.2,1.4,2.2,-1.6,0.0,-1.8000000000000005,7.0,6.0,1.0,2.5,3.4,3.0,2.0,11.0,-9.0,1837.1036377,1816.32702637,20.776611329999923
2015-09-20,Liverpool,Norwich,1,1,D,0,0,D,A Taylor,23,7,7,2,4,13,6,2,1,2,0,0,2015-16,0.6,1.2,1.4,1.6,1.8,1.4,-1.0,-0.6000000000000001,0.0,8.0,8.0,0.0,1.67,4.0,5.75,7.0,7.0,0.0,1725.16564941,1604.23925781,120.92639159999999
2015-09-20,Southampton,Man United,2,3,A,1,1,D,M Clattenburg,15,10,8,3,6,13,5,5,2,0,0,0,2015-16,1.0,1.0,1.2,1.2,0.6,2.0,-0.1999999999999999,0.4,-0.8,8.0,8.0,0.0,3.1,3.3,2.5,6.0,10.0,-4.0,1674.96875,1797.00756836,-122.03881836000005
2015-09-20,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,22,12,6,4,9,11,6,5,1,2,0,0,2015-16,0.8,0.8,1.2,1.6,1.2,1.8,-0.8,-0.3999999999999999,-0.6000000000000001,7.0,8.0,-1.0,2.0,3.6,4.0,6.0,9.0,-3.0,1717.36218262,1658.04064941,59.3215332100001
2015-09-26,Leicester,Arsenal,2,5,A,1,2,A,C Pawson,16,26,7,12,9,12,6,5,1,1,0,0,2015-16,1.8,1.4,1.8,1.0,0.6,2.0,0.8,0.7999999999999999,-0.1999999999999999,7.0,7.0,0.0,4.5,4.0,1.8,12.0,10.0,2.0,1646.1920166,1807.21350098,-161.02148437999995
2015-09-26,Liverpool,Aston Villa,3,2,H,1,0,H,J Moss,21,10,12,4,8,13,11,1,0,0,0,0,2015-16,0.6,1.4,1.0,1.0,1.8,0.2,-0.4,-0.4000000000000001,0.8,6.0,7.0,-1.0,1.53,4.33,7.0,8.0,4.0,4.0,1720.77368164,1552.78369141,167.98999022999988
2015-09-26,Man United,Sunderland,3,0,H,1,0,H,M Jones,12,9,7,4,12,17,5,2,0,3,0,0,2015-16,1.6,1.0,2.0,0.8,1.8,0.4,0.8,-0.8,1.6,6.0,7.0,-1.0,1.2,7.5,16.0,13.0,2.0,11.0,1803.0682373,1558.92590332,244.14233397999988
2015-09-26,Newcastle,Chelsea,2,2,D,1,0,H,M Atkinson,11,16,5,4,12,15,4,6,1,2,0,0,2015-16,0.2,1.4,0.2,1.4,2.0,1.2,-1.2,-0.6000000000000001,-1.0,7.0,7.0,0.0,6.0,4.2,1.62,2.0,7.0,-5.0,1557.12353516,1846.21716309,-289.0936279299999
2015-09-26,Southampton,Swansea,3,1,H,1,0,H,R East,18,11,7,4,18,14,4,3,3,1,0,0,2015-16,1.0,1.2,1.0,1.0,0.6,1.6,0.0,0.6,-0.6000000000000001,6.0,7.0,-1.0,2.05,3.4,4.2,6.0,9.0,-3.0,1668.90808105,1671.10107422,-2.192993170000136
